BA_to_BA,Limit_MW
AZPS_CISO,2113.0
AZPS_IID,91.0
AZPS_LDWP,1603.0
AZPS_PACE,538.0
AZPS_PNM,876.0
AZPS_SRP,2525.0
AZPS_TEPC,896.0
AZPS_WACM,326.0
AZPS_WALC,2907.0
AVA_BPAT,294.0
AVA_CHPD,67.0
AVA_GCPD,113.0
AVA_IPCO,326.0
AVA_NWMT,257.0
AVA_PACW,233.0
BANC_BPAT,1011.0
BANC_CISO,3391.0
BANC_TIDC,2233.0
BPAT_AVA,1684.0
BPAT_BANC,2333.0
BPAT_CHPD,250.0
BPAT_CISO,3325.0
BPAT_DOPD,446.0
BPAT_GCPD,611.0
BPAT_IPCO,218.0
BPAT_LDWP,3138.0
BPAT_NEVP,276.0
BPAT_NWMT,957.0
BPAT_PACW,3223.0
BPAT_PGE,3011.0
BPAT_PSEI,3850.0
BPAT_SCL,1498.0
BPAT_TPWR,739.0
CHPD_AVA,36.0
CHPD_BPAT,1710.0
CHPD_DOPD,367.0
CHPD_PSEI,329.0
CISO_AZPS,469.0
CISO_BANC,1210.0
CISO_BPAT,1838.0
CISO_IID,320.0
CISO_LDWP,1088.0
CISO_NEVP,704.0
CISO_PACW,39.0
CISO_SRP,709.0
CISO_TIDC,683.0
CISO_WALC,319.0
DOPD_BPAT,6982.0
DOPD_CHPD,2737.0
EPE_PNM,223.0
EPE_TEPC,511.0
GCPD_AVA,133.0
GCPD_BPAT,7316.0
GCPD_PACW,482.0
GCPD_PSEI,35.0
IID_AZPS,626.0
IID_CISO,504.0
IID_WALC,861.0
IPCO_AVA,309.0
IPCO_BPAT,291.0
IPCO_NEVP,416.0
IPCO_NWMT,0.0
IPCO_PACE,1085.0
IPCO_PACW,1721.0
LDWP_AZPS,248.0
LDWP_BPAT,929.0
LDWP_CISO,4734.0
LDWP_NEVP,1915.0
LDWP_PACE,835.0
LDWP_WALC,617.0
NEVP_BPAT,178.0
NEVP_CISO,1660.0
NEVP_IPCO,276.0
NEVP_LDWP,566.0
NEVP_PACE,441.0
NEVP_WALC,1211.0
NWMT_AVA,211.0
NWMT_BPAT,1854.0
NWMT_IPCO,75.0
NWMT_PACE,645.0
NWMT_WAUW,325.0
PACE_AZPS,964.0
PACE_IPCO,2545.0
PACE_LDWP,659.0
PACE_NEVP,696.0
PACE_NWMT,491.0
PACE_PACW,42.0
PACE_WACM,717.0
PACW_AVA,262.0
PACW_BPAT,502.0
PACW_CISO,137.0
PACW_GCPD,127.0
PACW_IPCO,1341.0
PACW_PACE,3079.0
PACW_PGE,1247.0
PGE_BPAT,0.0
PGE_PACW,376.0
PNM_AZPS,549.0
PNM_EPE,742.0
PNM_PSCO,0.0
PNM_SRP,0.0
PNM_TEPC,805.0
PNM_WACM,828.0
PSCO_PNM,205.0
PSCO_WACM,1135.0
PSEI_BPAT,0.0
PSEI_CHPD,361.0
PSEI_GCPD,408.0
PSEI_SCL,357.0
PSEI_TPWR,50.0
SCL_BPAT,995.0
SCL_PSEI,289.0
SRP_AZPS,5007.0
SRP_CISO,2736.0
SRP_PNM,29.0
SRP_TEPC,2275.0
SRP_WALC,2160.0
TEPC_AZPS,86.0
TEPC_EPE,665.0
TEPC_PNM,434.0
TEPC_SRP,817.0
TEPC_WALC,95.0
TIDC_BANC,639.0
TIDC_CISO,407.0
TPWR_BPAT,235.0
TPWR_PSEI,117.0
WACM_AZPS,965.0
WACM_PACE,1370.0
WACM_PNM,1902.0
WACM_PSCO,5257.0
WACM_WALC,769.0
WACM_WAUW,144.0
WALC_AZPS,395.0
WALC_CISO,930.0
WALC_IID,118.0
WALC_LDWP,2652.0
WALC_NEVP,1351.0
WALC_SRP,1096.0
WALC_TEPC,424.0
WALC_WACM,85.0
WAUW_NWMT,212.0
WAUW_WACM,219.0
