,GEOID,Name,MW
0,48329,Midland,264.3
1,48377,Presidio,22.92
2,48033,Borden,10.01
3,48227,Howard,101.55
4,48109,Culberson,7.01
5,48371,Pecos,69.23
6,48443,Terrell,3.9
7,48475,Ward,29.23
8,48173,Glasscock,2.89
9,48135,Ector,398.91
10,48431,Sterling,92.15
11,48317,Martin,116.2
12,48043,Brewster,24.63
13,48389,Reeves,9.25
14,48461,Upton,59.4
15,48003,Andrews,44.36
16,48235,Irion,14.68
17,48105,Crockett,11.08
18,48115,Dawson,44.58
19,48495,Winkler,21.3
20,48301,Loving,39.67
21,48107,Crosby,11.62
22,48277,Lamar,151.45
23,48147,Fannin,104.28
24,48087,Collingsworth,8.06
25,48485,Wichita,333.39
26,48155,Foard,56.81
27,48065,Carson,0
28,48191,Hall,25.43
29,48097,Cooke,109.38
30,48181,Grayson,378.6
31,48393,Roberts,18.57
32,48077,Clay,36.63
33,48045,Briscoe,3.2
34,48269,King,5.77
35,48275,Knox,4.68
36,48337,Montague,59.49
37,48387,Red River,20.65
38,48125,Dickens,6.42
39,48487,Wilbarger,11.57
40,48119,Delta,47.83
41,48129,Donley,24.84
42,48433,Stonewall,7.11
43,48009,Archer,73.68
44,48151,Fisher,12.52
45,48101,Cottle,4.48
46,48263,Kent,7.9
47,48023,Baylor,17.05
48,48207,Haskell,14.08
49,48211,Hemphill,0
50,48265,Kerr,135.81
51,48353,Nolan,44.68
52,48385,Real,7.34
53,48253,Jones,114.07
54,48441,Taylor,342.92
55,48083,Coleman,32.07
56,48435,Sutton,12.54
57,48137,Edwards,9.72
58,48299,Llano,43.67
59,48171,Gillespie,65.1
60,48053,Burnet,263.22
61,48413,Schleicher,10.13
62,48335,Mitchell,27.41
63,48411,San Saba,26.57
64,48417,Shackelford,26.28
65,48281,Lampasas,63.15
66,48451,Tom Green,241.08
67,48415,Scurry,46.96
68,48049,Brown,122.34
69,48399,Runnels,29.53
70,48081,Coke,8.75
71,48465,Val Verde,146.3
72,48095,Concho,37.15
73,48271,Kinney,10.79
74,48327,Menard,23.13
75,48059,Callahan,32.6
76,48463,Uvalde,76.03
77,48267,Kimble,12.04
78,48215,Hidalgo,2213.75
79,48479,Webb,756.1
80,48013,Atascosa,130.56
81,48261,Kenedy,5.7
82,48247,Jim Hogg,16.05
83,48323,Maverick,162.78
84,48391,Refugio,68.5
85,48061,Cameron,1003.96
86,48355,Nueces,849.71
87,48163,Frio,52.51
88,48175,Goliad,72.97
89,48505,Zapata,43.06
90,48273,Kleberg,180.78
91,48507,Zavala,35.07
92,48409,San Patricio,172.45
93,48025,Bee,93.4
94,48427,Starr,181.11
95,48489,Willacy,51.74
96,48297,Live Oak,24.5
97,48047,Brooks,24.38
98,48249,Jim Wells,103.65
99,48131,Duval,47.91
100,48311,McMullen,14.64
101,48007,Aransas,12.05
102,48283,La Salle,15.06
103,48127,Dimmit,29.89
104,48113,Dallas,7469.07
105,48349,Navarro,153.15
106,48221,Hood,87.08
107,48121,Denton,1998.88
108,48085,Collin,2333.45
109,48293,Limestone,78.95
110,48497,Wise,169.45
111,48439,Tarrant,4814.25
112,48237,Jack,27.29
113,48099,Coryell,216.75
114,48251,Johnson,671
115,48027,Bell,845.83
116,48367,Parker,468.77
117,48397,Rockwall,236.49
118,48143,Erath,108.73
119,48231,Hunt,195.15
120,48503,Young,55.81
121,48213,Henderson,235.16
122,48309,McLennan,588.1
123,48193,Hamilton,18.89
124,48257,Kaufman,259.86
125,48145,Falls,92.48
126,48139,Ellis,471.62
127,48035,Bosque,71.17
128,48093,Comanche,22.63
129,48363,Palo Pinto,84.97
130,48333,Mills,14.89
131,48429,Stephens,30.69
132,48133,Eastland,52.34
133,48217,Hill,130.11
134,48467,Van Zandt,182.4
135,48425,Somervell,25.24
136,48331,Milam,88.04
137,48447,Throckmorton,4.57
138,48029,Bexar,5159.77
139,48021,Bastrop,225.15
140,48187,Guadalupe,438.62
141,48177,Gonzales,96.13
142,48453,Travis,3146.4
143,48255,Karnes,41.95
144,48123,DeWitt,37.27
145,48285,Lavaca,70.36
146,48259,Kendall,115.55
147,48325,Medina,212.81
148,48477,Washington,94.42
149,48149,Fayette,82.5
150,48491,Williamson,1155.13
151,48209,Hays,401.65
152,48091,Comal,198.8
153,48493,Wilson,102.8
154,48019,Bandera,63.61
155,48287,Lee,45.8
156,48089,Colorado,53.56
157,48051,Burleson,51.12
158,48015,Austin,82.22
159,48055,Caldwell,208.2
160,48031,Blanco,31.5
161,48469,Victoria,221.57
162,48201,Harris,12237.31
163,48473,Waller,82.1
164,48339,Montgomery,1185
165,48157,Fort Bend,1614.66
166,48167,Galveston,995.06
167,48057,Calhoun,64.05
168,48291,Liberty,141.73
169,48481,Wharton,135.68
170,48071,Chambers,242.95
171,48039,Brazoria,821.99
172,48321,Matagorda,129.98
173,48239,Jackson,52.19
174,48407,San Jacinto,44.05
175,48313,Madison,34.23
176,48289,Leon,59.62
177,48423,Smith,586.7
178,48005,Angelina,248.87
179,48073,Cherokee,174
180,48185,Grimes,164.84
181,48001,Anderson,163.3
182,48499,Wood,70.08
183,48225,Houston,56.85
184,48041,Brazos,554.19
185,48347,Nacogdoches,195.12
186,48401,Rusk,146.38
187,48223,Hopkins,125.1
188,48161,Freestone,49.2
189,48379,Rains,19.05
190,48365,Panola,0
191,48395,Robertson,76.36
192,48449,Titus,4.91
193,48159,Franklin,109.1
194,48455,Trinity,36.62
195,48063,Camp,0
